"Site","elevation","latitude","longitude","full_ID","stationID","filename","date","time","time_stamp","PESO","SOREX","UNK","VOLE","SCIURIDAE","MUSTELIDAE","OTHER","X","night","sunAltDegrees","moonAltDegrees","moonlightModel","twilightModel","illumination","moonPhase","mean_height","max_height","sd_height","cover2m","CC","FC","CP","Le","L","CI"
"Tryon",75,45.441706,-122.684142,"BOHO01_20260619","BOHO01","IMAG0001.jpg","2026-06-15","23:56:00",2026-06-15 23:56:00,0,0,0,0,0,0,0,"",TRUE,-19.1037721777838,-9.47726893765374,0,0,0,0.0217154885323328,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260619","BOHO01","IMAG0002.jpg","2026-06-15","23:56:00",2026-06-15 23:56:00,0,0,0,0,0,0,0,"",TRUE,-19.1037721777838,-9.47726893765374,0,0,0,0.0217154885323328,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260619","BOHO01","IMAG0003.jpg","2026-06-15","23:56:00",2026-06-15 23:56:00,0,0,0,0,0,0,0,"",TRUE,-19.1037721777838,-9.47726893765374,0,0,0,0.0217154885323328,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260619","BOHO01","IMAG0004.jpg","2026-06-16","0:55:00",2026-06-16 00:55:00,1,0,0,0,0,0,0,"",TRUE,-21.1185187274405,-14.0678852816994,0,0,0,0.0230939186686872,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260619","BOHO01","IMAG0005.jpg","2026-06-16","0:55:00",2026-06-16 00:55:00,1,0,0,0,0,0,0,"",TRUE,-21.1185187274405,-14.0678852816994,0,0,0,0.0230939186686872,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260619","BOHO01","IMAG0006.jpg","2026-06-16","0:55:00",2026-06-16 00:55:00,1,0,0,0,0,0,0,"",TRUE,-21.1185187274405,-14.0678852816994,0,0,0,0.0230939186686872,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260619","BOHO01","IMAG0007.jpg","2026-06-16","1:35:00",2026-06-16 01:35:00,1,0,0,0,0,0,0,"",TRUE,-21.0155612411809,-16.0636058948175,0,0,0,0.0240538525354165,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260619","BOHO01","IMAG0008.jpg","2026-06-16","1:35:00",2026-06-16 01:35:00,1,0,0,0,0,0,0,"",TRUE,-21.0155612411809,-16.0636058948175,0,0,0,0.0240538525354165,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260619","BOHO01","IMAG0009.jpg","2026-06-16","1:35:00",2026-06-16 01:35:00,1,0,0,0,0,0,0,"",TRUE,-21.0155612411809,-16.0636058948175,0,0,0,0.0240538525354165,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260619","BOHO01","IMAG0010.jpg","2026-06-16","1:36:00",2026-06-16 01:36:00,1,0,0,0,0,0,0,"",TRUE,-20.9975902279359,-16.1009726098528,0,0,0,0.0240781133086749,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
