"Site","elevation","latitude","longitude","full_ID","stationID","filename","date","time","time_stamp","PESO","SOREX","UNK","VOLE","SCIURIDAE","MUSTELIDAE","OTHER","...18","night","sunAltDegrees","moonAltDegrees","moonlightModel","twilightModel","illumination","moonPhase","mean_height","max_height","sd_height","cover2m","CC","FC","CP","Le","L","CI"
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0318.JPG",2026-07-16,03:55:50,2026-07-16 03:55:50,0,0,0,0,0,0,0,NA,TRUE,-14.0488280170458,-27.7314947542845,0,0.00286073537372602,0.00286073537372602,0.0592975311009156,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0319.JPG",2026-07-16,03:58:36,2026-07-16 03:58:36,1,0,0,0,0,0,0,NA,TRUE,-13.7496896457252,-27.6447792966047,0,0.00322983084201301,0.00322983084201301,0.0594008558465903,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0320.JPG",2026-07-16,03:58:36,2026-07-16 03:58:36,1,0,0,0,0,0,0,NA,TRUE,-13.7496896457252,-27.6447792966047,0,0.00322983084201301,0.00322983084201301,0.0594008558465903,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0321.JPG",2026-07-16,03:58:36,2026-07-16 03:58:36,1,0,0,0,0,0,0,NA,TRUE,-13.7496896457252,-27.6447792966047,0,0.00322983084201301,0.00322983084201301,0.0594008558465903,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0322.JPG",2026-07-16,03:58:56,2026-07-16 03:58:56,1,0,0,0,0,0,0,NA,TRUE,-13.7133852048449,-27.6339406685837,0,0.00327952493474988,0.00327952493474988,0.0594133101460647,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0323.JPG",2026-07-16,03:58:58,2026-07-16 03:58:58,1,0,0,0,0,0,0,NA,TRUE,-13.7097516797172,-27.632852195952,0,0.00328456299191743,0.00328456299191743,0.0594145556337697,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0324.JPG",2026-07-16,03:58:58,2026-07-16 03:58:58,0,0,0,0,0,0,0,NA,TRUE,-13.7097516797172,-27.632852195952,0,0.00328456299191743,0.00328456299191743,0.0594145556337697,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0325.JPG",2026-07-16,04:03:32,2026-07-16 04:03:32,1,0,0,0,0,0,0,NA,TRUE,-13.2066637248205,-27.47581885711,0,0.00411709010221332,0.00411709010221332,0.0595853006865919,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0326.JPG",2026-07-16,04:03:32,2026-07-16 04:03:32,1,0,0,0,0,0,0,NA,TRUE,-13.2066637248205,-27.47581885711,0,0.00411709010221332,0.00411709010221332,0.0595853006865919,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0327.JPG",2026-07-16,04:03:32,2026-07-16 04:03:32,1,0,0,0,0,0,0,NA,TRUE,-13.2066637248205,-27.47581885711,0,0.00411709010221332,0.00411709010221332,0.0595853006865919,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
