Site,elevation,latitude,longitude,full_ID,stationID ,filename,date,time,time_stamp,PESO,SOREX,UNK,VOLE ,SCIURIDAE,MUSTELIDAE,OTHER,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0037.jpg,2026-06-16,3:10:00,2026-06-16  3:10:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0038.jpg,2026-06-16,3:10:00,2026-06-16  3:10:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0039.jpg,2026-06-16,3:10:00,2026-06-16  3:10:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0040.jpg,2026-06-16,3:11:00,2026-06-16  3:11:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0041.jpg,2026-06-16,3:11:00,2026-06-16  3:11:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0042.jpg,2026-06-16,3:11:00,2026-06-16  3:11:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0043.jpg,2026-06-16,3:13:00,2026-06-16  3:13:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0044.jpg,2026-06-16,3:13:00,2026-06-16  3:13:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0045.jpg,2026-06-16,3:13:00,2026-06-16  3:13:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0046.jpg,2026-06-16,3:18:00,2026-06-16  3:18:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0047.jpg,2026-06-16,3:18:00,2026-06-16  3:18:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0048.jpg,2026-06-16,3:18:00,2026-06-16  3:18:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0049.jpg,2026-06-16,3:24:00,2026-06-16  3:24:0,0,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0050.jpg,2026-06-16,3:24:00,2026-06-16  3:24:0,0,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0051.jpg,2026-06-16,3:24:00,2026-06-16  3:24:0,0,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0052.jpg,2026-06-16,3:27:00,2026-06-16  3:27:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0053.jpg,2026-06-16,3:27:00,2026-06-16  3:27:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0054.jpg,2026-06-16,3:27:00,2026-06-16  3:27:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0055.jpg,2026-06-16,3:31:00,2026-06-16  3:31:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0056.jpg,2026-06-16,3:31:00,2026-06-16  3:31:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0057.jpg,2026-06-16,3:31:00,2026-06-16  3:31:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0058.jpg,2026-06-16,3:32:00,2026-06-16  3:32:0,0,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0059.jpg,2026-06-16,3:32:00,2026-06-16  3:32:0,0,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0060.jpg,2026-06-16,3:32:00,2026-06-16  3:32:0,0,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0061.jpg,2026-06-16,3:38:00,2026-06-16  3:38:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0062.jpg,2026-06-16,3:38:00,2026-06-16  3:38:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0063.jpg,2026-06-16,3:38:00,2026-06-16  3:38:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0064.jpg,2026-06-16,3:38:00,2026-06-16  3:38:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0065.jpg,2026-06-16,3:38:00,2026-06-16  3:38:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0066.jpg,2026-06-16,3:38:00,2026-06-16  3:38:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0067.jpg,2026-06-16,3:41:00,2026-06-16  3:41:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0068.jpg,2026-06-16,3:41:00,2026-06-16  3:41:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0069.jpg,2026-06-16,3:41:00,2026-06-16  3:41:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0070.jpg,2026-06-16,3:49:00,2026-06-16  3:49:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0071.jpg,2026-06-16,3:49:00,2026-06-16  3:49:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0072.jpg,2026-06-16,3:49:00,2026-06-16  3:49:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0073.jpg,2026-06-16,3:53:00,2026-06-16  3:53:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0074.jpg,2026-06-16,3:53:00,2026-06-16  3:53:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0075.jpg,2026-06-16,3:53:00,2026-06-16  3:53:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0076.jpg,2026-06-16,3:55:00,2026-06-16  3:55:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0077.jpg,2026-06-16,3:55:00,2026-06-16  3:55:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0078.jpg,2026-06-16,3:55:00,2026-06-16  3:55:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0079.jpg,2026-06-16,3:56:00,2026-06-16  3:56:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0080.jpg,2026-06-16,3:56:00,2026-06-16  3:56:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0081.jpg,2026-06-16,3:56:00,2026-06-16  3:56:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0082.jpg,2026-06-16,3:59:00,2026-06-16  3:59:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0083.jpg,2026-06-16,3:59:00,2026-06-16  3:59:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0084.jpg,2026-06-16,3:59:00,2026-06-16  3:59:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0085.jpg,2026-06-16,3:59:00,2026-06-16  3:59:0,0,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0086.jpg,2026-06-16,3:59:00,2026-06-16  3:59:0,0,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0087.jpg,2026-06-16,3:59:00,2026-06-16  3:59:0,0,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0088.jpg,2026-06-16,4:06:00,2026-06-16  4:6:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0089.jpg,2026-06-16,4:06:00,2026-06-16  4:6:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0090.jpg,2026-06-16,4:06:00,2026-06-16  4:6:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0091.jpg,2026-06-16,4:06:00,2026-06-16  4:6:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0092.jpg,2026-06-16,4:06:00,2026-06-16  4:6:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0093.jpg,2026-06-16,4:06:00,2026-06-16  4:6:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0094.jpg,2026-06-16,4:09:00,2026-06-16  4:9:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0095.jpg,2026-06-16,4:09:00,2026-06-16  4:9:0,0,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0096.jpg,2026-06-16,4:09:00,2026-06-16  4:9:0,0,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0097.jpg,2026-06-16,4:11:00,2026-06-16  4:11:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0098.jpg,2026-06-16,4:11:00,2026-06-16  4:11:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0099.jpg,2026-06-16,4:11:00,2026-06-16  4:11:0,1,0,0,0,0,0,0,
