"Site","Date_Folder","Image","id","FC","CC","CP","Le","L","CI","k","imgchannel","gapmethod","imgmethod","thd"
"WARO01","WARO01_20260624","LowerWARO01_20260624.jpg","LowerWARO01_20260624.jpg",0.768511988007973,0.900381017614297,0.146459140104632,2.92645438169682,3.45927971018985,0.845972175385671,0.5,3,"macfarlane","Otsu",0.013
"WARO01","WARO01_20260624","UpperWARO01_20260624.jpg","UpperWARO01_20260624.jpg",0.758438549905157,0.871070956006467,0.129303365385626,2.84126277303676,3.56371498280181,0.797275535992204,0.5,3,"macfarlane","Otsu",0.013
"WARO02","NEW_WARO02_20260624","LowerWARO02_20260624.jpg","LowerWARO02_20260624.jpg",0.912934040336452,1,0.0870659596635481,4.88217858106231,4.88217858106231,1,0.5,3,"macfarlane","Otsu",0.013
"WARO02","NEW_WARO02_20260624","UpperWARO02_20260624.jpg","UpperWARO02_20260624.jpg",0.868739312568319,0.986625639990049,0.119484354190226,4.06113990554917,4.19231016301601,0.968711700144706,0.5,3,"macfarlane","Otsu",0.013
"WARO02","OLD_WARO02_20260624","LowerOldWARO02_20260624.jpg","LowerOldWARO02_20260624.jpg",0.757111851570538,0.833266081633393,0.0913924516327079,2.83030847227719,3.98733217153544,0.709825103732778,0.5,3,"macfarlane","Otsu",0.013
"WARO02","OLD_WARO02_20260624","UpperOldWARO02_20260624.jpg","UpperOldWARO02_20260624.jpg",0.801436184855646,0.87832660439574,0.08754194528013,3.2332894872948,4.27856994824458,0.755693964667181,0.5,3,"macfarlane","Otsu",0.013
"WARO03","WARO03_20260624","LowerWARO03_20260624.jpg","LowerWARO03_20260624.jpg",0.564079316064654,0.602516896440169,0.0637950248409868,1.66058993952319,3.31634948773866,0.500728269340366,0.5,3,"macfarlane","Otsu",0.013
"WARO03","WARO03_20260624","UpperWARO03_20260624.jpg","UpperWARO03_20260624.jpg",0.524977444621271,0.558673309200585,0.0603140762667375,1.48878598213404,3.13772133801065,0.474479987785643,0.5,3,"macfarlane","Otsu",0.013
"WARO04","WARO04_20260624","LowerWARO04_20260624.jpg","LowerWARO04_20260624.jpg",0.699156082216114,0.835490662374615,0.163179059082496,2.40232738858599,3.02933400641145,0.793021629012044,0.5,3,"macfarlane","Otsu",0.013
"WARO04","WARO04_20260624","UpperWARO04_20260624.jpg","UpperWARO04_20260624.jpg",0.491317246676472,0.554962723343461,0.114684237318763,1.35186146232272,2.40362423482026,0.56242629057358,0.5,3,"macfarlane","Otsu",0.013
